section_name,total_revenue,avg_price,ticket_count,total_seats,unique_patrons,revenue_per_seat
ORCHL,2617502.93,112.5275323502859,23261,42669,8171,61.34
ORCHR,1980203.67,88.77448534026719,22306,41411,10036,47.82
LOGEL,742184.1,137.97808142777467,5379,9771,2006,75.96
LOGER,740851.75,154.60178422370618,4792,9057,2523,81.8
BALCL,373637.95,52.83342053167421,7072,12897,3916,28.97
BALCR,334249.15,53.86771152296535,6205,11430,3959,29.24
DRESSL,205498.4,82.72882447665056,2484,4512,1444,45.54
DRESSR,192026.1,100.96009463722397,1902,4015,1307,47.83
GA1,9896.0,215.1304347826087,46,101,44,97.98
PITL,5467.0,147.75675675675674,37,62,33,88.18
PITR,4795.0,165.3448275862069,29,52,26,92.21
GA2,0.0,0.0,11,11,11,0.0
GA3,0.0,0.0,10,10,9,0.0
